source,target,weight
growth-factor-beta,tgf-beta superfamily,15.0
children,risk,15.0
growth-factor-beta,mic-1,15.0
electrical detection,silicon nanowires,15.0
glioma,positron-emission-tomography,15.0
electromagnetic-fields,risk,15.0
gene-expression,prostate cancer,15.0
gene,growth,15.0
exposure,leukemia,15.0
cells,dna,15.0
electromagnetic fields,exposure,15.0
fdg,positron-emission-tomography,15.0
cancer,in-vitro,15.0
apoptosis,in-vitro,15.0
cells,gene-expression,15.0
apoptosis,induction,15.0
expression,tumor,15.0
positron-emission-tomography,prostate-cancer,14.0
positron-emission-tomography,radiation necrosis,14.0
computed-tomography,fdg-pet,14.0
dna methylation,hypermethylation,14.0
biosensors,dna,14.0
dna,nanosensors,14.0
methionine,positron-emission-tomography,14.0
children,pooled analysis,14.0
carcinoma,positron-emission-tomography,14.0
